＃,店名,郵便番号,住所
45,ごはん家　ほおずき,893-0022,鹿児島県鹿屋市旭原町3620-14
46,小松食堂,893-0007,鹿児島県鹿屋市北田町9-5
47,西都,893-0004,鹿児島県鹿屋市朝日町3-5
48,株式会社三和グリーン,893-0023,鹿児島県鹿屋市笠之原町2800-1
49,BAR　ジーク,893-0002,鹿児島県鹿屋市本町7-10
50,JA鹿児島きもつき,893-0023,鹿児島県鹿屋市笠之原町7517-1
51,シュシュ,893-0002,鹿児島県鹿屋市本町7-2
52,酒楽亭　わ,893-0014,鹿児島県鹿屋市寿2-6-9
53,Julian Bakery Factory,893-2311,鹿児島県鹿屋市白水町1986-4
54,収藏楼,893-1603,鹿児島県鹿屋市串良町岡崎2061
55,信ちゃんラーメン,893-0002,鹿児島県鹿屋市本町4-4-16
56,Simple～シンプル～,893-0004,鹿児島県鹿屋市朝日町2-17　２F
57,助六,893-0002,鹿児島県鹿屋市本町5-20
58,スズエの餃子,899-7301,鹿児島県曽於郡大崎町菱田3066-4
59,Hair STELLA,893-0064,鹿児島県鹿屋市西原4丁目13-19
60,SPOCAFE,893-0002,鹿児島県鹿屋市本町5-12
61,SPOCAFE,893-0002,鹿児島県鹿屋市本町5-12　ワカマツデンキビル1F
62,炭火や　くおん,862-0913,熊本県熊本市東区尾ノ上3丁目12-34
63,３PEACE,893-0011,鹿児島県鹿屋市打馬1丁目13-14
64,Zero,893-0002,鹿児島県鹿屋市本町8-25　2F
65,有限会社総合運輸,893-1613,鹿児島県肝属郡東串良町川西1799
66,そば処　皐月,893-0002,鹿児島県鹿屋市本町4-20　若松ビル102号
67,soyaro,893-0013,鹿児島県鹿屋市札元1丁目3-5
68,ちゅら,893-0002,鹿児島県鹿屋市本町8-32 Tビル1階
69,Teppen　Bar,893-0004,鹿児島県鹿屋市朝日町2-10
70,Douce Café,899-7103,鹿児島県志布志市志布志町志布志3丁目8-15
71,to U,893-0002,鹿児島県鹿屋市本町7-8
72,とおや,893-0002,鹿児島県鹿屋市本町8-10
73,時折,893-0023,鹿児島県鹿屋市笠之原町2757-1
74,お弁当とお惣菜TOKIORI,893-0023,鹿児島県鹿屋市笠之原町2757-1
75,トムズスモーク,893-2502,鹿児島県肝属郡南大隅町根占川南263-1
76,寅゛,893-0023,鹿児島県鹿屋市笠之原町1-58
77,鳥三郎,893-0007,鹿児島県鹿屋市北田町5-10　1F
78,TORO,893-0006,鹿児島県鹿屋市向江町20-6
79,とんかつ竹亭鹿屋本店,893-0008,鹿児島県鹿屋市西大手町9-15
80,株式会社　ナカトリ,893-0037,鹿児島県鹿屋市田崎町854-1
81,麺家なかむら,893-0002,鹿児島県鹿屋市本町4-12
82,肉のクスハラ,893-0013,鹿児島県鹿屋市札元1丁目27-9
83,ニューロケット,893-1402,鹿児島県肝属郡肝付町南方280
84,Hair Node,893-0023,鹿児島県鹿屋市笠之原町26-10
85,nodoca,893-0026,鹿児島県鹿屋市祓川町4065
86,のんの-NON style-,893-0004,鹿児島県鹿屋市朝日町2-9
87,Bar903,893-0002,鹿児島県鹿屋市本町7-8　アークビル4F
88,朴家,893-0014,鹿児島県鹿屋市寿3-1-14
89,スナック華みずき,893-0002,鹿児島県鹿屋市本町7-4-101号
90,ハピネス鹿屋店,893-0013,鹿児島県鹿屋市札元1丁目18-34
91,HaruRin,893-0132,鹿児島県鹿屋市打馬2丁目22-33
92,ひいらぎ保育園,893-0015,鹿児島県鹿屋市新川町622-3
93,believe,893-0002,鹿児島県鹿屋市本町8-28　有村ビル2F
94,有限会社樋渡コーポレーション,893-0012,鹿児島県鹿屋市王子町3962-3
95,ファーマーズマン,893-0014,鹿児島県鹿屋市寿8-10-17
96,FATHER＆MOTHER,893-0002,鹿児島県鹿屋市本町7-8　アークビル1F
97,Family mart 大隅吾平店,893-1103,鹿児島県鹿屋市吾平町麓180-1
98,Family mart 札元１丁目店,893-0013,鹿児島県鹿屋市札元1-3839-9
99,Family Mart 田崎中学校入口店,893-0032,鹿児島県鹿屋市川西町4281-1
100,ふくろう屋,893-1602,鹿児島県鹿屋市串良町有里3388-5
101,PRIZEHOUCE マンガ倉庫鹿屋店,893-0014,鹿児島県鹿屋市寿8丁目11-4
102,Café Boulange Mai,893-0022,鹿児島県鹿屋市旭原町3624-1
103,ブルエコー札元,893-0013,鹿児島県鹿屋市札元2丁目3826-9
104,ブルエコーポルシェ倶楽部笠之原町,893-1204,鹿児島県肝属郡肝付町富山895-2
105,ヘアルーム希,893-1401,鹿児島県肝属郡肝付町北方1753-2
106,BEKKAN,893-0002,鹿児島県鹿屋市本町8-38　ロイヤルビル1-202
107,VENET,893-0002,鹿児島県鹿屋市本町8-38　ロイヤルビル1F
108,BAR　HOKURO,893-0002,鹿児島県鹿屋市本町5-4
109,ほっかほか亭鹿屋川西店,893-0032,鹿児島県鹿屋市川西町3722-8
110,ほっかほか亭寿本店,893-0014,鹿児島県鹿屋市寿５丁目26-7
111,ホテルさつき苑,893-0064,鹿児島県鹿屋市西原1丁目９番10号
112,bottle,893-0002,鹿児島県鹿屋市本町8-37　ロイヤルビル2 1F
113,ホワイト急便鹿屋本店,893-0015,鹿児島県鹿屋市新川町883
114,多肉植物専門店　MY plus,893-0023,鹿児島県鹿屋市笠之原町20-3
115,有限会社前園不動産,893-0014,鹿児島県鹿屋市寿2-1-16
116,マエゾノランドリー,893-0013,鹿児島県鹿屋市札元1丁目14
117,前田時計店,893-0007,鹿児島県鹿屋市北田町9-3
118,前原呉服店,893-0006,鹿児島県鹿屋市向江町2-10
119,Bar Mast,893-0004,鹿児島県鹿屋市朝日町1-33　ビルⅡ　西都2階
120,ミネサキ川西店,893-0032,鹿児島県鹿屋市川西町3732-2
121,ミネサキ西原店,893-0064,鹿児島県鹿屋市西原２丁目
122,美濃吉,893-0025,鹿児島県鹿屋市西祓川町1102-3
123,宮田自動車整備工場,893-0014,鹿児島県鹿屋市寿2丁目7-11
124,miwa,893-0015,鹿児島県鹿屋市新川町5768-2
125,魅惑のかき氷,839-0863,福岡県久留米市国分町1944-4
126,珉珉,893-0012,鹿児島県鹿屋市王子町3963-4
127,むぜごて,893-0032,鹿児島県鹿屋市川西町4516-6
128,麺屋　一番鶏,893-0016,鹿児島県鹿屋市白崎町17-2
129,もちもちポテトさりのすけ,893-0032,鹿児島県鹿屋市川西町3722-8
130,焼肉源氏,893-0063,鹿児島県鹿屋市新栄町2-7
131,焼肉マダムよしこ,893-0002,鹿児島県鹿屋市本町3-8　スカイビル1F
132,KITCHEN CAR Yummy Yummy,893-1204,鹿児島県肝属郡肝付町富山895-2
133,ユクサおおすみ海の学校,891-2313,鹿児島県鹿屋市天神町3629-1
134,ラーメン太桜,893-0023,鹿児島県鹿屋市笠之原町12-38
135,らーめんなかむら,893-0064,鹿児島県鹿屋市西原4丁目13-19
136,Lounge悦,893-0002,鹿児島県鹿屋市本町8-11
137,Crepe＆Parfait　Rita,893-0064,鹿児島県鹿屋市西原4丁目9-15　鮫島ビル102
138,LUSE,893-0014,鹿児島県鹿屋市寿1丁目14-2
139,Patisserie LUNAMIENCE,893-0062,鹿児島県鹿屋市新生町13-19
140,ルピノンの里,893-1612,鹿児島県肝属郡東串良町池之原2608-1
141,Leia～レイア～,893-0004,鹿児島県鹿屋市朝日町2-17　ミネサキビル２F
142,特定非営利活動法人Legare,893-0023,鹿児島県鹿屋市笠之原町44-28
143,レトロ居酒屋ハイカラ横丁,893-0002,鹿児島県鹿屋市本町3-10　検見崎ビル1F
144,蓮華,893-0002,鹿児島県鹿屋市本町8-37　ロイヤルビル2F
